state_norm,pc_name_norm,pc_no,candidate,party,avg_prob
andaman_&_nicobar_islands,andaman & nicobar islands,1,KULDEEP RAI SHARMA,INC,0.9704527996384211
andhra_pradesh,amalapuram,7,CHINTA ANURADHA,YSRCP,0.7370889919451632
andhra_pradesh,anakapalli,5,Dr.Beesetti Venkata Satyavathi,YSRCP,0.908201783108766
andhra_pradesh,anantapur,19,TALARI RANGAIAH,YSRCP,0.8686727571133716
andhra_pradesh,aruku,1,GODDETI. MADHAVI,YSRCP,0.9077216275531177
andhra_pradesh,bapatla,15,NANDIGAM SURESH,YSRCP,0.439601632501721
andhra_pradesh,chittoor,25,N. REDDEPPA,YSRCP,0.8940524729004846
andhra_pradesh,eluru,10,KOTAGIRI SRIDHAR,YSRCP,0.8927003361784213
andhra_pradesh,guntur,13,Jayadev Galla,TDP,0.07923396829983617
andhra_pradesh,hindupur,20,KURUVA GORANTLA MADHAV,YSRCP,0.9010477725254292
andhra_pradesh,kadapa,21,Y.S.Avinash Reddy,YSRCP,0.9048949540150966
andhra_pradesh,kakinada,6,VANGA GEETHAVISWANATH,YSRCP,0.3696215351269968
andhra_pradesh,kurnool,18,AYUSHMAN DOCTOR SANJEEV KUMAR,YSRCP,0.8711626439644796
andhra_pradesh,machilipatnam,11,BALASHOWRY VALLABHANENI,YSRCP,0.7292112121590208
andhra_pradesh,nandyal,17,POCHA . BRAHMANANDA REDDY,YSRCP,0.8517210956972059
andhra_pradesh,narasaraopet,14,LAVU SRI KRISHNA DEVARAYALU,YSRCP,0.8490488827416993
andhra_pradesh,narsapuram,9,KANUMURU RAGHU RAMA KRISHNA RAJU,YSRCP,0.31879133153170464
andhra_pradesh,nellore,22,Adala Prabhakara Reddy,YSRCP,0.8755972775150742
andhra_pradesh,ongole,16,MAGUNTA SREENIVASULU REDDY,YSRCP,0.8729293203718124
andhra_pradesh,rajahmundry,8,MARGANI BHARAT,YSRCP,0.9992429569699223
andhra_pradesh,rajampet,24,P.V.MIDHUN REDDY,YSRCP,0.9574043736811062
andhra_pradesh,srikakulam,2,KINJARAPU RAM MOHAN NAIDU,TDP,0.44572636310527364
andhra_pradesh,tirupati,23,Balli Durga Prasad Rao,YSRCP,0.9048864985292525
andhra_pradesh,vijayawada,12,KESINENI SRINIVAS (NANI),TDP,0.4590020117566322
andhra_pradesh,visakhapatnam,4,M V V SATYANARAYANA,YSRCP,0.998215406932227
andhra_pradesh,vizianagaram,3,Bellana Chandra Sekhar,YSRCP,0.6542732697232891
arunachal_pradesh,arunachal east,2,Tapir Gao,BJP,0.996938785873696
arunachal_pradesh,arunachal west,1,KIREN RIJIJU,BJP,0.9356074707106338
assam,autonomous district,3,HOREN SING BEY,BJP,0.9984373830528523
assam,barpeta,6,Abdul Khaleque,INC,0.9968092643372751
assam,dhubri,4,BADRUDDIN AJMAL,AIUDF,0.9994009225863959
assam,dibrugarh,13,RAMESWAR TELI,BJP,0.999453258665129
assam,gauhati,7,QUEEN OJA,BJP,0.9990712383399074
assam,jorhat,12,TOPON KUMAR GOGOI,BJP,0.9661541723006246
assam,kaliabor,11,Gaurav Gogoi,INC,0.9936956701870121
assam,karimganj,1,KRIPANATH MALLAH,BJP,0.9977132942894856
assam,kokrajhar,5,Naba Kumar Sarania,IND,0.9963846554600524
assam,lakhimpur,14,PRADAN BARUAH,BJP,0.978020468088259
assam,mangaldoi,8,DILIP SAIKIA,BJP,0.999089799683008
assam,nowgong,10,Pradyut Bordoloi,INC,0.9331607489248809
assam,silchar,2,RAJDEEP ROY,BJP,0.9758559481384687
assam,tezpur,9,PALLAB LOCHAN DAS,BJP,0.9861348833033926
bihar,araria,9,PRADEEP KUMAR SINGH,BJP,0.9994829687391785
bihar,arrah,32,R. K. Singh,BJP,0.9993065908189696
bihar,aurangabad,37,SUSHIL KUMAR SINGH,BJP,0.9963885409055979
bihar,banka,27,GIRIDHARI YADAV,JD(U),0.999440320555113
bihar,begusarai,24,Giriraj Singh,BJP,0.9935859283294469
bihar,bhagalpur,26,AJAY KUMAR MANDAL,JD(U),0.9940472664480332
bihar,buxar,33,Ashwini Kumar Choubey,BJP,0.9994538266096761
bihar,darbhanga,14,Gopal Jee Thakur,BJP,0.9982614551263144
bihar,gaya (sc),38,Vijay Kumar,JD(U),0.9994443845148109
bihar,gopalganj (sc),17,DR. ALOK KUMAR SUMAN,JD(U),0.9994964236117863
bihar,hajipur (sc),21,PASHU PATI KUMAR PARAS,LJP,0.9995578249688037
bihar,jahanabad,36,CHANDESHWAR PRASAD,JD(U),0.6616714401315799
bihar,jamui (sc),40,CHIRAG KUMAR PASWAN,LJP,0.9993398574630957
